t_s,dt_s,sample,mode,event,strategy,delay_ms,jitter_ms,delay_steps,jitter_offset,effective_depth,theta_w_rad,theta_dot_rad_s,alpha_rad,alpha_dot_rad_s,voltage_cmd_V,theta_integral,delay_blend,Rf_active,kf_theta,kf_theta_dot,kf_alpha,kf_alpha_dot
0.050000,0.050000,1,HOME,,baseline,20,0,4,0,0,-0.018408,0.000000,3.132389,0.000000,0.147262,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.054715,0.004715,2,HOME,,baseline,20,0,4,0,0,-0.018408,0.000000,3.129321,-0.097608,0.147262,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.060281,0.005567,3,HOME,,baseline,20,0,4,0,0,-0.021476,-0.082670,3.129321,-0.082967,0.196607,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.065894,0.005613,4,HOME,,baseline,20,0,4,0,0,-0.021476,-0.070269,3.126253,-0.152509,0.192887,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.071523,0.005629,5,HOME,,baseline,20,0,4,0,0,-0.024544,-0.141485,3.123185,-0.211389,0.238795,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.077149,0.005626,6,HOME,,baseline,20,0,4,0,0,-0.027612,-0.202064,3.123185,-0.179680,0.281512,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.084021,0.006872,7,HOME,,baseline,20,0,4,0,0,-0.027612,-0.171754,3.120117,-0.219692,0.272419,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.088523,0.004501,8,HOME,,baseline,20,0,4,0,0,-0.027612,-0.145991,3.117049,-0.288971,0.264691,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.094147,0.005624,9,HOME,,baseline,20,0,4,0,0,-0.030680,-0.205913,3.117049,-0.245625,0.307211,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.101020,0.006873,10,HOME,,baseline,20,0,4,0,0,-0.030680,-0.175026,3.117049,-0.208781,0.297945,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.105527,0.004506,11,HOME,,baseline,20,0,4,0,0,-0.033748,-0.250892,3.113981,-0.279584,0.345248,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.111152,0.005625,12,HOME,,baseline,20,0,4,0,0,-0.033748,-0.213259,3.113981,-0.237647,0.333958,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.118095,0.006943,13,HOME,,baseline,20,0,4,0,0,-0.033748,-0.181270,3.113981,-0.202000,0.324362,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.123653,0.005559,14,HOME,,baseline,20,0,4,0,0,-0.036816,-0.236868,3.113981,-0.171700,0.365585,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.129276,0.005623,15,HOME,,baseline,20,0,4,0,0,-0.036816,-0.201337,3.113981,-0.145945,0.354926,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.134948,0.005672,16,HOME,,baseline,20,0,4,0,0,-0.036816,-0.171137,3.117049,-0.042915,0.345865,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.140526,0.005578,17,HOME,,baseline,20,0,4,0,0,-0.036816,-0.145466,3.117049,-0.036477,0.338164,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.146145,0.005620,18,HOME,,baseline,20,0,4,0,0,-0.033748,-0.041755,3.120117,0.050886,0.282507,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.153020,0.006875,19,HOME,,baseline,20,0,4,0,0,-0.033748,-0.035492,3.120117,0.043253,0.280628,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.157521,0.004501,20,HOME,,baseline,20,0,4,0,0,-0.033748,-0.030168,3.123185,0.139011,0.279031,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.163145,0.005624,21,HOME,,baseline,20,0,4,0,0,-0.030680,0.056190,3.126253,0.199993,0.228580,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.170025,0.006880,22,HOME,,baseline,20,0,4,0,0,-0.030680,0.047762,3.129321,0.236883,0.231108,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.174542,0.004517,23,HOME,,baseline,20,0,4,0,0,-0.030680,0.040597,3.132389,0.303231,0.233258,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.180165,0.005623,24,HOME,,baseline,20,0,4,0,0,-0.027612,0.116344,3.132389,0.257747,0.185990,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.187036,0.006871,25,HOME,,baseline,20,0,4,0,0,-0.027612,0.098892,3.135457,0.286058,0.191226,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.191535,0.004499,26,HOME,,baseline,20,0,4,0,0,-0.027612,0.084058,3.138525,0.345436,0.195676,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.198869,0.007334,27,HOME,,baseline,20,0,4,0,0,-0.024544,0.134200,3.141593,0.356371,0.156089,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.206127,0.007258,28,HOME,,baseline,20,0,4,0,0,-0.021476,0.177477,-3.135457,-129.426589,0.118563,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.213215,0.007088,29,HOME,,baseline,20,0,4,0,0,-0.015340,0.280711,-3.126253,-109.817818,0.038505,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.219430,0.006215,30,HOME,,baseline,20,0,4,0,0,-0.006136,0.460740,-3.117049,-93.123009,-0.089135,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.225354,0.005924,31,HOME,,baseline,20,0,4,0,0,0.000000,0.547000,-3.110913,-78.999186,-0.164100,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.231211,0.005857,32,HOME,,baseline,20,0,4,0,0,0.006136,0.622097,-3.101709,-66.913588,-0.235717,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.237705,0.006494,33,HOME,,baseline,20,0,4,0,0,0.015340,0.741375,-3.092505,-56.663958,-0.345131,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.242452,0.004747,34,HOME,,baseline,20,0,4,0,0,0.024544,0.920990,-3.083301,-47.873542,-0.472647,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.248230,0.005778,35,HOME,,baseline,20,0,4,0,0,0.027612,0.862486,-3.077165,-40.533222,-0.479639,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.254215,0.005985,36,HOME,,baseline,20,0,4,0,0,0.036816,0.963775,-3.071030,-34.299464,-0.583657,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.258832,0.004617,37,HOME,,baseline,20,0,4,0,0,0.039884,0.918887,-3.067962,-29.054867,-0.594734,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.264964,0.006132,38,HOME,,baseline,20,0,4,0,0,0.042951,0.856103,-3.064894,-24.621588,-0.600443,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.270814,0.005850,39,HOME,,baseline,20,0,4,0,0,0.046019,0.806352,-3.061826,-20.849685,-0.610061,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.276648,0.005834,40,HOME,,baseline,20,0,4,0,0,0.049087,0.764283,-3.064894,-17.801116,-0.621984,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.284033,0.007385,41,HOME,,baseline,20,0,4,0,0,0.049087,0.649640,-3.071030,-15.255576,-0.587591,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.291700,0.007667,42,HOME,,baseline,20,0,4,0,0,0.049087,0.552194,-3.077165,-13.087283,-0.558357,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.298979,0.007279,43,HOME,,baseline,20,0,4,0,0,0.049087,0.469365,-3.086369,-11.313848,-0.533509,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.303246,0.004267,44,HOME,,baseline,20,0,4,0,0,0.049087,0.398960,-3.092505,-9.832472,-0.512387,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.310475,0.007228,45,HOME,,baseline,20,0,4,0,0,0.049087,0.339116,-3.104777,-8.612259,-0.494434,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.316424,0.005949,46,HOME,,baseline,20,0,4,0,0,0.049087,0.288249,-3.120117,-7.707172,-0.479174,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.321917,0.005493,47,HOME,,baseline,20,0,4,0,0,0.049087,0.245011,-3.132389,-6.886225,-0.466203,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.327540,0.005623,48,HOME,,baseline,20,0,4,0,0,0.049087,0.208260,3.132389,161.264992,-0.455177,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.333211,0.005671,49,HOME,,baseline,20,0,4,0,0,0.049087,0.177021,3.110913,136.507169,-0.445805,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.340037,0.006826,50,HOME,,baseline,20,0,4,0,0,0.049087,0.150468,3.086369,115.491774,-0.437839,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.344541,0.004504,51,HOME,,baseline,20,0,4,0,0,0.049087,0.127898,3.061826,97.350574,-0.431068,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.350156,0.005616,52,HOME,,baseline,20,0,4,0,0,0.046019,0.026762,3.034214,82.010433,-0.376184,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.357060,0.006903,53,HOME,,baseline,20,0,4,0,0,0.046019,0.022748,3.003534,69.042231,-0.374980,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.361546,0.004486,54,HOME,,baseline,20,0,4,0,0,0.046019,0.019336,2.975923,57.762696,-0.373956,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.367165,0.005619,55,HOME,,baseline,20,0,4,0,0,0.046019,0.016435,2.942175,48.197445,-0.373086,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.374033,0.006867,56,HOME,,baseline,20,0,4,0,0,0.046019,0.013970,2.908428,40.230701,-0.372346,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.378524,0.004492,57,HOME,,baseline,20,0,4,0,0,0.046019,0.011875,2.877748,33.171543,-0.371718,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.384148,0.005624,58,HOME,,baseline,20,0,4,0,0,0.046019,0.010093,2.840932,27.213834,-0.371183,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.391226,0.007078,59,HOME,,baseline,20,0,4,0,0,0.046019,0.008579,2.804117,22.351509,-0.370729,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.397479,0.006253,60,HOME,,baseline,20,0,4,0,0,0.049087,0.080885,2.755029,17.821302,-0.416965,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.403409,0.005930,61,HOME,,baseline,20,0,4,0,0,0.052155,0.146354,2.712078,14.061681,-0.461149,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.409102,0.005693,62,HOME,,baseline,20,0,4,0,0,0.052155,0.124401,2.675262,10.982436,-0.454563,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.416481,0.007379,63,HOME,,baseline,20,0,4,0,0,0.055223,0.168110,2.610835,8.025323,-0.492219,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.422173,0.005692,64,HOME,,baseline,20,0,4,0,0,0.055223,0.142893,2.567884,5.689669,-0.484654,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.426707,0.004534,65,HOME,,baseline,20,0,4,0,0,0.058291,0.222950,2.521864,3.313864,-0.533215,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.432273,0.005566,66,HOME,,baseline,20,0,4,0,0,0.058291,0.189507,2.463573,1.245912,-0.523182,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.437970,0.005697,67,HOME,,baseline,20,0,4,0,0,0.058291,0.161081,2.414486,-0.233435,-0.514654,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.443526,0.005556,68,HOME,,baseline,20,0,4,0,0,0.058291,0.136919,2.353127,-1.855024,-0.507406,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.449147,0.005621,69,HOME,,baseline,20,0,4,0,0,0.055223,0.034512,2.291767,-3.214157,-0.452140,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.456022,0.006874,70,HOME,,baseline,20,0,4,0,0,0.052155,-0.037608,2.227340,-4.137826,-0.405961,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.460524,0.004502,71,HOME,,baseline,20,0,4,0,0,0.049087,-0.134183,2.175185,-5.254843,-0.352444,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.466144,0.005620,72,HOME,,baseline,20,0,4,0,0,0.046019,-0.195943,2.116893,-6.022465,-0.309373,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.473027,0.006883,73,HOME,,baseline,20,0,4,0,0,0.046019,-0.166551,2.058602,-6.389454,-0.318190,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.477523,0.004497,74,HOME,,baseline,20,0,4,0,0,0.042951,-0.243910,2.012583,-6.966156,-0.270439,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.483168,0.005645,75,HOME,,baseline,20,0,4,0,0,0.036816,-0.370370,1.957359,-7.388653,-0.183413,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.490037,0.006869,76,HOME,,baseline,20,0,4,0,0,0.033748,-0.381815,1.908272,-7.352353,-0.155436,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.494535,0.004498,77,HOME,,baseline,20,0,4,0,0,0.030680,-0.426858,1.868389,-7.579600,-0.117380,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.500158,0.005624,78,HOME,,baseline,20,0,4,0,0,0.027612,-0.444659,1.822369,-7.670108,-0.087496,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.507037,0.006878,79,HOME,,baseline,20,0,4,0,0,0.024544,-0.444867,1.776350,-7.523198,-0.062889,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.511539,0.004503,80,HOME,,baseline,20,0,4,0,0,0.021476,-0.480340,1.739534,-7.621152,-0.027704,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.517159,0.005620,81,HOME,,baseline,20,0,4,0,0,0.015340,-0.572059,1.699651,-7.542488,0.048899,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.524037,0.006878,82,HOME,,baseline,20,0,4,0,0,0.009204,-0.620076,1.659767,-7.280979,0.112392,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.528533,0.004497,83,HOME,,baseline,20,0,4,0,0,0.006136,-0.629407,1.626020,-7.314600,0.139735,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.534220,0.005687,84,HOME,,baseline,20,0,4,0,0,0.003068,-0.615920,1.589204,-7.188504,0.160232,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.541044,0.006824,85,HOME,,baseline,20,0,4,0,0,-0.003068,-0.658407,1.552389,-6.919474,0.222066,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.545534,0.004490,86,HOME,,baseline,20,0,4,0,0,-0.009204,-0.764628,1.518641,-7.008954,0.303019,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.551172,0.005637,87,HOME,,baseline,20,0,4,0,0,-0.012272,-0.731567,1.481825,-6.937210,0.317645,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.558039,0.006867,88,HOME,,baseline,20,0,4,0,0,-0.018408,-0.755858,1.445010,-6.700786,0.374020,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.562541,0.004503,89,HOME,,baseline,20,0,4,0,0,-0.024544,-0.846894,1.414330,-6.717744,0.450418,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.568162,0.005620,90,HOME,,baseline,20,0,4,0,0,-0.030680,-0.883628,1.377515,-6.692687,0.510525,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.575033,0.006872,91,HOME,,baseline,20,0,4,0,0,-0.036816,-0.885017,1.340699,-6.492387,0.560030,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.579533,0.004499,92,HOME,,baseline,20,0,4,0,0,-0.042951,-0.956822,1.313088,-6.439036,0.630658,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.585160,0.005627,93,HOME,,baseline,20,0,4,0,0,-0.049087,-0.976868,1.279340,-6.372810,0.685759,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.592040,0.006880,94,HOME,,baseline,20,0,4,0,0,-0.052155,-0.897225,1.242524,-6.219542,0.686410,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.596648,0.004608,95,HOME,,baseline,20,0,4,0,0,-0.055223,-0.862511,1.214913,-6.185435,0.700540,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.602216,0.005568,96,HOME,,baseline,20,0,4,0,0,-0.055223,-0.733134,1.184233,-6.084117,0.661727,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.609112,0.006896,97,HOME,,baseline,20,0,4,0,0,-0.058291,-0.689893,1.150486,-5.905520,0.673298,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.614668,0.005555,98,HOME,,baseline,20,0,4,0,0,-0.058291,-0.586409,1.116738,-5.930918,0.642253,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.620285,0.005618,99,HOME,,baseline,20,0,4,0,0,-0.058291,-0.498448,1.082990,-5.942386,0.615865,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.625908,0.005622,100,HOME,,baseline,20,0,4,0,0,-0.058291,-0.423681,1.055379,-5.787695,0.593434,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.633093,0.007186,101,HOME,,baseline,20,0,4,0,0,-0.055223,-0.296084,1.015495,-5.752117,0.530612,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
