t_s,dt_s,sample,mode,event,strategy,delay_ms,jitter_ms,delay_steps,jitter_offset,effective_depth,theta_w_rad,theta_dot_rad_s,alpha_rad,alpha_dot_rad_s,voltage_cmd_V,theta_integral,delay_blend,Rf_active,kf_theta,kf_theta_dot,kf_alpha,kf_alpha_dot
0.050000,0.050000,1,HOME,,baseline,20,5,4,0,0,-0.619728,0.000000,-3.129321,0.000000,3.000000,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.056794,0.006794,2,HOME,,baseline,20,5,4,0,0,-0.619728,0.000000,-3.129321,0.000000,3.000000,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.062371,0.005577,3,HOME,,baseline,20,5,4,0,0,-0.619728,0.000000,-3.126253,0.082518,3.000000,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.068010,0.005639,4,HOME,,baseline,20,5,4,0,0,-0.613592,0.163204,-3.120117,0.233345,3.000000,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.074893,0.006883,5,HOME,,baseline,20,5,4,0,0,-0.604388,0.339294,-3.110913,0.398913,3.000000,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.079368,0.004475,6,HOME,,baseline,20,5,4,0,0,-0.592117,0.699770,-3.098641,0.750447,3.000000,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.084983,0.005615,7,HOME,,baseline,20,5,4,0,0,-0.573709,1.086552,-3.080233,1.129627,3.000000,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.091865,0.006882,8,HOME,,baseline,20,5,4,0,0,-0.552233,1.391659,-3.058758,1.428273,3.000000,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.096367,0.004502,9,HOME,,baseline,20,5,4,0,0,-0.533825,1.796282,-3.037282,1.929632,3.000000,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.101992,0.005625,10,HOME,,baseline,20,5,4,0,0,-0.503146,2.344977,-3.009670,2.376511,3.000000,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
0.108858,0.006866,11,HOME,,baseline,20,5,4,0,0,-0.472466,2.663461,-2.975923,2.757288,2.980690,0.000000,0.000000,0.000004627,0.000000,0.000000,0.000000,0.000000
