t_s,dt_s,sample,mode,event,strategy,delay_ms,jitter_ms,delay_steps,jitter_offset,effective_depth,theta_w_rad,theta_dot_rad_s,alpha_rad,alpha_dot_rad_s,voltage_cmd_V,theta_integral,delay_blend,Rf_active,kf_theta,kf_theta_dot,kf_alpha,kf_alpha_dot
0.050000,0.050000,1,HOME,,kf,15,0,3,0,0,-0.500078,0.000000,-3.107845,0.000000,3.000000,0.000000,0.000000,0.000004627,-0.500078,0.000000,-3.107845,0.000000
0.054353,0.004353,2,HOME,,kf,15,0,3,0,0,-0.500078,0.000000,-3.107845,0.000000,3.000000,0.000000,0.000000,0.000004627,-0.500078,0.000000,-3.107845,0.000000
0.061181,0.006828,3,HOME,,kf,15,0,3,0,0,-0.497010,0.067401,-3.104777,0.067401,3.000000,0.000000,0.000000,0.000004627,-0.500078,0.000000,-3.107845,0.000000
0.065667,0.004486,4,HOME,,kf,15,0,3,0,0,-0.493942,0.159872,-3.098641,0.262453,3.000000,0.000000,0.000000,0.000004627,-0.500078,0.000000,-3.107845,0.000000
0.071299,0.005632,5,HOME,,kf,15,0,3,0,0,-0.484738,0.381013,-3.089437,0.468207,3.000000,0.000000,0.000000,0.000004627,-0.500078,0.000000,-3.107845,0.000000
0.078171,0.006872,6,HOME,,kf,15,0,3,0,0,-0.469398,0.658705,-3.074097,0.732820,3.000000,0.000000,0.000000,0.000004627,-0.500078,0.000000,-3.107845,0.000000
0.082674,0.004503,7,HOME,,kf,15,0,3,0,0,-0.454058,1.070842,-3.058758,1.133840,3.000000,0.000000,0.000000,0.000004627,-0.500078,0.000000,-3.107845,0.000000
0.088291,0.005617,8,HOME,,kf,15,0,3,0,0,-0.432583,1.483715,-3.037282,1.537263,3.000000,0.000000,0.000000,0.000004627,-0.500078,0.000000,-3.107845,0.000000
0.095166,0.006875,9,HOME,,kf,15,0,3,0,0,-0.408039,1.796686,-3.012738,1.842202,2.725305,0.000000,0.000000,0.000004627,-0.500078,0.000000,-3.107845,0.000000
0.099677,0.004511,10,HOME,,kf,15,0,3,0,0,-0.383495,2.343295,-2.988195,2.381983,2.364973,0.000000,0.000000,0.000004627,-0.500078,0.000000,-3.107845,0.000000
0.105292,0.005614,11,HOME,,kf,15,0,3,0,0,-0.352816,2.811458,-2.957515,2.844343,1.979087,0.000000,0.000000,0.000004627,-0.500078,0.000000,-3.107845,0.000000
0.112167,0.006876,12,HOME,,kf,15,0,3,0,0,-0.319068,3.125956,-2.923767,3.153908,1.614757,0.000000,0.000000,0.000004627,-0.500078,0.000000,-3.107845,0.000000
0.116670,0.004503,13,HOME,,kf,15,0,3,0,0,-0.291456,3.576920,-2.896156,3.600679,1.258575,0.000000,0.000000,0.000004627,-0.500078,0.000000,-3.107845,0.000000
0.122361,0.005691,14,HOME,,kf,15,0,3,0,0,-0.254641,4.010809,-2.862408,3.950136,0.833884,0.000000,0.000000,0.000004627,-0.500078,0.000000,-3.107845,0.000000
0.128109,0.005748,15,HOME,,kf,15,0,3,0,0,-0.227029,4.129708,-2.834796,4.078136,0.577321,0.000000,0.000000,0.000004627,-0.500078,0.000000,-3.107845,0.000000
0.133676,0.005567,16,HOME,,kf,15,0,3,0,0,-0.190214,4.502205,-2.804117,4.293043,0.171048,0.000000,0.000000,0.000004627,-0.500078,0.000000,-3.107845,0.000000
0.139294,0.005618,17,HOME,,kf,15,0,3,0,0,-0.156466,4.727878,-2.773437,4.468181,-0.166635,0.000000,0.000000,0.000004627,-0.500078,0.000000,-3.107845,0.000000
0.146166,0.006872,18,HOME,,kf,15,0,3,0,0,-0.125786,4.688411,-2.748894,4.333725,-0.400232,0.000000,0.000000,0.000004627,-0.500078,0.000000,-3.107845,0.000000
0.150668,0.004502,19,HOME,,kf,15,0,3,0,0,-0.101243,4.802847,-2.727418,4.399152,-0.630912,0.000000,0.000000,0.000004627,-0.500078,0.000000,-3.107845,0.000000
0.156295,0.005626,20,HOME,,kf,15,0,3,0,0,-0.070563,4.900362,-2.709010,4.230045,-0.905604,0.000000,0.000000,0.000004627,-0.500078,0.000000,-3.107845,0.000000
0.163183,0.006889,21,HOME,,kf,15,0,3,0,0,-0.046019,4.699726,-2.690602,3.996352,-1.041763,0.000000,0.000000,0.000004627,-0.500078,0.000000,-3.107845,0.000000
