Delay (ms),Jitter (ms),Run,Alpha RMS (deg),Theta RMS wrapped (deg),Mean |V|,Sat %,Duration (s),Result
5,0,1,8.33,35.15,0.682,0.0,4.0,FAIL at 4.3s
5,0,2,7.82,39.62,0.654,0.0,3.7,FAIL at 4.0s
5,0,3,5.20,38.99,0.758,0.0,3.3,FAIL at 3.6s
5,0,4,9.97,46.73,0.843,0.0,3.3,FAIL at 3.5s
5,0,5,7.21,37.93,0.594,0.0,4.0,FAIL at 4.2s
5,0,Mean ± Std (pass),—,—,—,—,—,PASS (0/5)
5,0,Failure time,—,—,—,—,"median 4.0s, mean 3.9s",FAIL (5/5)
10,0,1,6.49,39.14,0.817,0.0,3.5,FAIL at 3.7s
10,0,2,5.90,38.54,0.834,0.0,3.1,FAIL at 3.4s
10,0,3,8.02,45.03,0.943,0.0,3.7,FAIL at 4.0s
10,0,4,7.43,34.91,0.792,0.0,3.2,FAIL at 3.4s
10,0,5,7.18,46.72,0.922,0.0,3.4,FAIL at 3.7s
10,0,Mean ± Std (pass),—,—,—,—,—,PASS (0/5)
10,0,Failure time,—,—,—,—,"median 3.7s, mean 3.6s",FAIL (5/5)
15,0,1,6.58,38.77,0.969,0.0,2.4,FAIL at 2.6s
15,0,2,7.85,45.36,0.880,0.0,3.8,FAIL at 4.1s
15,0,3,7.74,42.09,0.802,0.0,3.0,FAIL at 3.2s
15,0,4,8.76,48.13,1.146,0.0,2.1,FAIL at 2.4s
15,0,5,8.59,40.00,0.984,0.0,2.3,FAIL at 2.6s
15,0,Mean ± Std (pass),—,—,—,—,—,PASS (0/5)
15,0,Failure time,—,—,—,—,"median 2.6s, mean 3.0s",FAIL (5/5)
20,0,1,7.82,30.90,0.619,0.0,3.4,FAIL at 3.7s
20,0,2,9.93,31.93,1.013,0.0,1.9,FAIL at 2.1s
20,0,3,8.80,36.39,0.782,0.0,2.6,FAIL at 2.9s
20,0,4,7.76,37.34,0.980,0.0,2.3,FAIL at 2.6s
20,0,5,16.27,67.15,1.805,0.0,0.8,FAIL at 1.1s
20,0,Mean ± Std (pass),—,—,—,—,—,PASS (0/5)
20,0,Failure time,—,—,—,—,"median 2.6s, mean 2.5s",FAIL (5/5)
