Delay (ms),Jitter (ms),Run,Alpha RMS (deg),Theta RMS wrapped (deg),Mean |V|,Sat %,Duration (s),Result
5,0,1,0.93,8.56,0.238,0.0,54.5,PASS
5,0,2,0.84,9.61,0.232,0.0,55.0,PASS
5,0,3,2.14,12.90,0.254,0.0,54.9,PASS
5,0,4,1.13,12.47,0.239,0.0,53.7,PASS
5,0,5,1.49,15.52,0.248,0.0,54.9,PASS
5,0,Mean ± Std (pass),1.31 ± 0.53,11.81 ± 2.77,0.242 ± 0.009,0.0 ± 0.0,54.6,PASS (5/5)
5,0,Failure time,—,—,—,—,—,FAIL (0/5)
10,0,1,1.85,9.66,0.247,0.0,54.2,PASS
10,0,2,2.11,12.55,0.281,0.0,53.9,PASS
10,0,3,2.75,13.05,0.285,0.0,62.8,PASS
10,0,4,2.60,14.72,0.300,0.0,54.4,PASS
10,0,5,2.50,13.29,0.283,0.0,54.8,PASS
10,0,Mean ± Std (pass),2.36 ± 0.37,12.65 ± 1.86,0.279 ± 0.019,0.0 ± 0.0,56.0,PASS (5/5)
10,0,Failure time,—,—,—,—,—,FAIL (0/5)
15,0,1,7.58,30.67,0.830,0.7,7.7,FAIL at 8.0s
15,0,2,14.49,35.74,2.868,6.9,2.7,FAIL at 2.9s
15,0,3,11.99,14.57,2.251,4.6,2.9,FAIL at 3.1s
15,0,4,8.65,21.27,1.800,2.1,4.5,FAIL at 4.7s
15,0,5,8.73,15.75,1.493,2.9,3.9,FAIL at 4.1s
15,0,Mean ± Std (pass),—,—,—,—,—,PASS (0/5)
15,0,Failure time,—,—,—,—,"median 4.1s, mean 4.6s",FAIL (5/5)
20,0,1,13.19,14.69,1.781,8.1,1.7,FAIL at 2.0s
20,0,2,9.22,15.19,1.522,3.7,1.6,FAIL at 1.8s
20,0,3,10.39,18.54,1.716,0.0,1.8,FAIL at 2.1s
20,0,4,10.65,16.15,1.599,3.6,1.9,FAIL at 2.1s
20,0,5,11.54,38.08,1.775,1.1,2.0,FAIL at 2.3s
20,0,Mean ± Std (pass),—,—,—,—,—,PASS (0/5)
20,0,Failure time,—,—,—,—,"median 2.1s, mean 2.1s",FAIL (5/5)
