Delay (ms),Jitter (ms),Run,Alpha RMS (deg),Theta RMS wrapped (deg),Mean |V|,Sat %,Duration (s),Result
5,5,1,3.33,16.68,0.348,0.0,14.6,PASS
5,5,2,2.22,12.96,0.272,0.0,61.6,PASS
5,5,3,0.97,4.35,0.257,0.0,53.3,PASS
5,5,4,0.74,7.08,0.231,0.0,54.2,PASS
5,5,5,1.56,11.74,0.252,0.0,54.7,PASS
5,5,Mean ± Std (pass),1.77 ± 1.05,10.56 ± 4.88,0.272 ± 0.045,0.0 ± 0.0,47.7,PASS (5/5)
5,5,Failure time,—,—,—,—,—,FAIL (0/5)
10,5,1,2.36,13.33,0.286,0.0,54.4,PASS
10,5,2,2.37,12.53,0.298,0.0,54.8,PASS
10,5,3,2.77,14.30,0.323,0.0,54.5,PASS
10,5,4,2.03,11.62,0.278,0.0,54.9,PASS
10,5,5,2.31,12.89,0.289,0.0,54.2,PASS
10,5,Mean ± Std (pass),2.37 ± 0.26,12.93 ± 0.99,0.295 ± 0.018,0.0 ± 0.0,54.6,PASS (5/5)
10,5,Failure time,—,—,—,—,—,FAIL (0/5)
15,5,1,10.71,34.17,1.931,5.8,4.8,FAIL at 5.1s
15,5,2,4.57,11.77,0.564,0.8,17.8,FAIL at 18.0s
15,5,3,11.89,21.63,2.408,4.0,4.9,FAIL at 5.2s
15,5,4,9.82,41.43,1.977,5.2,3.6,FAIL at 3.9s
15,5,5,8.66,12.49,1.013,3.0,3.7,FAIL at 4.0s
15,5,Mean ± Std (pass),—,—,—,—,—,PASS (0/5)
15,5,Failure time,—,—,—,—,"median 5.1s, mean 7.2s",FAIL (5/5)
20,5,1,11.73,24.41,2.197,1.0,1.8,FAIL at 2.1s
20,5,2,13.27,16.51,1.877,0.0,1.7,FAIL at 1.9s
20,5,3,13.76,13.93,1.839,0.0,1.6,FAIL at 1.9s
20,5,4,11.28,30.99,1.888,4.5,2.3,FAIL at 2.5s
20,5,5,14.00,18.15,2.068,8.8,1.5,FAIL at 1.7s
20,5,Mean ± Std (pass),—,—,—,—,—,PASS (0/5)
20,5,Failure time,—,—,—,—,"median 1.9s, mean 2.0s",FAIL (5/5)
