Delay (ms),Jitter (ms),Run,Alpha RMS (deg),Theta RMS wrapped (deg),Mean |V|,Sat %,Duration (s),Result
5,0,1,0.53,5.64,0.300,0.0,51.4,PASS
5,0,2,0.51,5.46,0.298,0.0,49.6,PASS
5,0,3,0.53,7.33,0.299,0.0,55.8,PASS
5,0,4,0.30,5.92,0.297,0.0,52.3,PASS
5,0,5,0.28,5.80,0.297,0.0,50.7,PASS
5,0,Mean ± Std (pass),0.43 ± 0.13,6.03 ± 0.75,0.298 ± 0.001,0.0 ± 0.0,52.0,PASS (5/5)
5,0,Failure time,—,—,—,—,—,FAIL (0/5)
10,0,1,0.89,7.82,0.307,0.0,54.7,PASS
10,0,2,1.84,14.64,0.309,0.0,54.8,PASS
10,0,3,0.43,7.01,0.291,0.0,54.8,PASS
10,0,4,0.43,6.34,0.291,0.0,55.8,PASS
10,0,5,1.18,5.33,0.309,0.0,54.0,PASS
10,0,Mean ± Std (pass),0.96 ± 0.59,8.23 ± 3.70,0.302 ± 0.010,0.0 ± 0.0,54.8,PASS (5/5)
10,0,Failure time,—,—,—,—,—,FAIL (0/5)
15,0,1,1.01,11.21,0.296,0.0,54.9,PASS
15,0,2,0.76,9.75,0.295,0.0,54.5,PASS
15,0,3,1.20,13.34,0.297,0.0,54.4,PASS
15,0,4,1.08,14.09,0.293,0.0,55.1,PASS
15,0,5,1.19,12.08,0.306,0.0,55.1,PASS
15,0,Mean ± Std (pass),1.05 ± 0.18,12.09 ± 1.72,0.297 ± 0.005,0.0 ± 0.0,54.8,PASS (5/5)
15,0,Failure time,—,—,—,—,—,FAIL (0/5)
20,0,1,7.25,35.08,1.013,0.0,6.1,FAIL at 6.4s
20,0,2,8.86,12.91,1.530,0.0,2.5,FAIL at 2.7s
20,0,3,10.48,34.74,1.774,0.0,3.9,FAIL at 3.9s
20,0,4,13.88,19.35,2.127,0.0,1.5,FAIL at 1.8s
20,0,5,4.78,13.60,0.539,0.0,4.9,FAIL at 5.2s
20,0,Mean ± Std (pass),—,—,—,—,—,PASS (0/5)
20,0,Failure time,—,—,—,—,"median 3.9s, mean 4.0s",FAIL (5/5)
