Delay (ms),Jitter (ms),Run,Alpha RMS (deg),Theta RMS wrapped (deg),Mean |V|,Sat %,Duration (s),Result
5,5,1,1.51,26.03,0.298,0.0,54.3,PASS
5,5,2,1.60,32.26,0.324,0.0,54.3,PASS
5,5,3,1.58,25.46,0.299,0.0,38.2,PASS
5,5,4,1.86,32.44,0.327,0.0,56.9,PASS
5,5,5,1.98,28.10,0.311,0.0,54.5,PASS
5,5,Mean ± Std (pass),1.71 ± 0.20,28.86 ± 3.34,0.312 ± 0.014,0.0 ± 0.0,51.6,PASS (5/5)
5,5,Failure time,—,—,—,—,—,FAIL (0/5)
10,5,1,1.69,25.26,0.300,0.0,54.3,PASS
10,5,2,1.41,27.93,0.309,0.0,55.8,PASS
10,5,3,1.76,25.17,0.303,0.0,54.4,PASS
10,5,4,2.94,30.30,0.331,0.0,54.5,PASS
10,5,5,3.35,22.10,0.309,0.0,55.9,PASS
10,5,Mean ± Std (pass),2.23 ± 0.86,26.15 ± 3.10,0.310 ± 0.012,0.0 ± 0.0,55.0,PASS (5/5)
10,5,Failure time,—,—,—,—,—,FAIL (0/5)
15,5,1,1.31,23.09,0.272,0.0,54.2,PASS
15,5,2,2.07,30.60,0.300,0.0,54.8,PASS
15,5,3,1.83,30.65,0.299,0.0,53.9,PASS
15,5,4,2.39,29.48,0.303,0.0,54.2,PASS
15,5,5,3.72,23.17,0.286,0.0,54.3,PASS
15,5,Mean ± Std (pass),2.26 ± 0.91,27.40 ± 3.93,0.292 ± 0.013,0.0 ± 0.0,54.3,PASS (5/5)
15,5,Failure time,—,—,—,—,—,FAIL (0/5)
20,5,1,3.90,30.39,0.323,0.0,54.1,PASS
20,5,2,3.48,24.14,0.275,0.0,55.0,PASS
20,5,3,4.06,37.52,0.344,0.0,54.6,PASS
20,5,4,1.28,27.28,0.287,0.0,54.3,PASS
20,5,5,1.53,27.55,0.290,0.0,55.1,PASS
20,5,Mean ± Std (pass),2.85 ± 1.34,29.37 ± 5.06,0.304 ± 0.029,0.0 ± 0.0,54.6,PASS (5/5)
20,5,Failure time,—,—,—,—,—,FAIL (0/5)
