t_s,dt_s,sample,mode,event,strategy,delay_ms,jitter_ms,delay_steps,jitter_offset,effective_depth,theta_w_rad,theta_dot_rad_s,alpha_rad,alpha_dot_rad_s,voltage_cmd_V,theta_integral,delay_blend,Rf_active,kf_theta,kf_theta_dot,kf_alpha,kf_alpha_dot
0.050000,0.050000,1,HOME,,sp,900,0,180,0,0,-0.423379,0.000000,3.080233,0.000000,3.000000,0.000000,0.000000,0.000004627,-0.423379,0.000000,3.080233,0.000000
0.056830,0.006830,2,HOME,,sp,900,0,180,0,0,-0.423379,0.000000,3.080233,0.000000,3.000000,0.000000,0.000000,0.000004627,-0.423379,0.000000,3.080233,0.000000
0.062417,0.005586,3,HOME,,sp,900,0,180,0,0,-0.420311,0.082380,3.083301,0.082380,3.000000,0.000000,0.000000,0.000004627,-0.423379,0.000000,3.080233,0.000000
0.068041,0.005624,4,HOME,,sp,900,0,180,0,0,-0.414175,0.233665,3.089437,0.233665,3.000000,0.000000,0.000000,0.000004627,-0.423379,0.000000,3.080233,0.000000
0.073666,0.005625,5,HOME,,sp,900,0,180,0,0,-0.404971,0.444048,3.098641,0.444048,3.000000,0.000000,0.000000,0.000004627,-0.423379,0.000000,3.080233,0.000000
0.080536,0.006870,6,HOME,,sp,900,0,180,0,0,-0.392699,0.645391,3.113981,0.712379,2.947975,0.000000,0.000000,0.000004627,-0.423379,0.000000,3.080233,0.000000
0.085039,0.004503,7,HOME,,sp,900,0,180,0,0,-0.377359,1.059573,3.129321,1.116513,2.701002,0.000000,0.000000,0.000004627,-0.423379,0.000000,3.080233,0.000000
0.090662,0.005623,8,HOME,,sp,900,0,180,0,0,-0.355884,1.473536,-3.132389,-166.092011,2.405007,0.000000,0.000000,0.000004627,-0.423379,0.000000,3.080233,0.000000
0.097542,0.006880,9,HOME,,sp,900,0,180,0,0,-0.331340,1.787637,-3.107845,-140.643078,2.114428,0.000000,0.000000,0.000004627,-0.423379,0.000000,3.080233,0.000000
0.102211,0.004670,10,HOME,,sp,900,0,180,0,0,-0.306796,2.307895,-3.083301,-118.758212,1.762001,0.000000,0.000000,0.000004627,-0.423379,0.000000,3.080233,0.000000
0.107792,0.005581,11,HOME,,sp,900,0,180,0,0,-0.279185,2.703822,-3.055690,-100.202369,1.422329,0.000000,0.000000,0.000004627,-0.423379,0.000000,3.080233,0.000000
0.113413,0.005620,12,HOME,,sp,900,0,180,0,0,-0.254641,2.953300,-3.031146,-84.516962,1.151136,0.000000,0.000000,0.000004627,-0.423379,0.000000,3.080233,0.000000
0.119057,0.005644,13,HOME,,sp,900,0,180,0,0,-0.220893,3.407194,-3.000466,-71.024064,0.744988,0.000000,0.000000,0.000004627,-0.423379,0.000000,3.080233,0.000000
0.124729,0.005672,14,HOME,,sp,900,0,180,0,0,-0.190214,3.707471,-2.969787,-59.559099,0.409468,0.000000,0.000000,0.000004627,-0.423379,0.000000,3.080233,0.000000
0.131543,0.006814,15,HOME,,sp,900,0,180,0,0,-0.159534,3.826700,-2.942175,-50.017419,0.128262,0.000000,0.000000,0.000004627,-0.423379,0.000000,3.080233,0.000000
0.136036,0.004493,16,HOME,,sp,900,0,180,0,0,-0.134990,4.072100,-2.920699,-41.797827,-0.141708,0.000000,0.000000,0.000004627,-0.423379,0.000000,3.080233,0.000000
0.141666,0.005630,17,HOME,,sp,900,0,180,0,0,-0.107379,4.196923,-2.896156,-34.874253,-0.400048,0.000000,0.000000,0.000004627,-0.423379,0.000000,3.080233,0.000000
0.148543,0.006877,18,HOME,,sp,900,0,180,0,0,-0.079767,4.169611,-2.874680,-29.174716,-0.612747,0.000000,0.000000,0.000004627,-0.423379,0.000000,3.080233,0.000000
0.153041,0.004498,19,HOME,,sp,900,0,180,0,0,-0.058291,4.260393,-2.859340,-24.286920,-0.811788,0.000000,0.000000,0.000004627,-0.423379,0.000000,3.080233,0.000000
