t_s,dt_s,sample,mode,event,strategy,delay_ms,jitter_ms,delay_steps,jitter_offset,effective_depth,theta_w_rad,theta_dot_rad_s,alpha_rad,alpha_dot_rad_s,voltage_cmd_V,theta_integral,delay_blend,Rf_active,kf_theta,kf_theta_dot,kf_alpha,kf_alpha_dot
0.050000,0.050000,1,HOME,,sp,300,100,60,0,0,-0.536893,0.000000,3.138525,0.000000,3.000000,0.000000,0.000000,0.000004627,-0.536893,0.000000,3.138525,0.000000
0.057160,0.007160,2,HOME,,sp,300,100,60,0,0,-0.536893,0.000000,3.138525,0.000000,3.000000,0.000000,0.000000,0.000004627,-0.536893,0.000000,3.138525,0.000000
0.064107,0.006947,3,HOME,,sp,300,100,60,0,0,-0.533825,0.066242,3.141593,0.066242,3.000000,0.000000,0.000000,0.000004627,-0.536893,0.000000,3.138525,0.000000
0.071073,0.006966,4,HOME,,sp,300,100,60,0,0,-0.524621,0.254500,-3.132389,-135.045759,3.000000,0.000000,0.000000,0.000004627,-0.536893,0.000000,3.138525,0.000000
0.078071,0.006998,5,HOME,,sp,300,100,60,0,0,-0.509282,0.545119,-3.117049,-114.460101,3.000000,0.000000,0.000000,0.000004627,-0.536893,0.000000,3.138525,0.000000
0.085075,0.007004,6,HOME,,sp,300,100,60,0,0,-0.490874,0.857569,-3.098641,-96.896868,3.000000,0.000000,0.000000,0.000004627,-0.536893,0.000000,3.138525,0.000000
0.092083,0.007008,7,HOME,,sp,300,100,60,0,0,-0.466330,1.254272,-3.074097,-81.836999,3.000000,0.000000,0.000000,0.000004627,-0.536893,0.000000,3.138525,0.000000
0.099077,0.006993,8,HOME,,sp,300,100,60,0,0,-0.435651,1.724170,-3.043418,-68.903411,2.967953,0.000000,0.000000,0.000004627,-0.536893,0.000000,3.138525,0.000000
0.106099,0.007022,9,HOME,,sp,300,100,60,0,0,-0.401903,2.186391,-3.006602,-57.781521,2.559307,0.000000,0.000000,0.000004627,-0.536893,0.000000,3.138525,0.000000
0.110957,0.004858,10,HOME,,sp,300,100,60,0,0,-0.374291,2.711019,-2.982059,-48.356438,2.181025,0.000000,0.000000,0.000004627,-0.536893,0.000000,3.138525,0.000000
0.118442,0.007485,11,HOME,,sp,300,100,60,0,0,-0.334408,3.103631,-2.942175,-40.303708,1.744173,0.000000,0.000000,0.000004627,-0.536893,0.000000,3.138525,0.000000
0.126120,0.007678,12,HOME,,sp,300,100,60,0,0,-0.285320,3.597124,-2.893088,-33.299113,1.203426,0.000000,0.000000,0.000004627,-0.536893,0.000000,3.138525,0.000000
0.133413,0.007293,13,HOME,,sp,300,100,60,0,0,-0.239301,4.004013,-2.853204,-27.483984,0.713204,0.000000,0.000000,0.000004627,-0.536893,0.000000,3.138525,0.000000
0.140545,0.007132,14,HOME,,sp,300,100,60,0,0,-0.196350,4.306815,-2.813321,-22.522511,0.278752,0.000000,0.000000,0.000004627,-0.536893,0.000000,3.138525,0.000000
0.147474,0.006929,15,HOME,,sp,300,100,60,0,0,-0.156466,4.524209,-2.776505,-18.347135,-0.105534,0.000000,0.000000,0.000004627,-0.536893,0.000000,3.138525,0.000000
0.154412,0.006938,16,HOME,,sp,300,100,60,0,0,-0.116583,4.707853,-2.742758,-14.865446,-0.479696,0.000000,0.000000,0.000004627,-0.536893,0.000000,3.138525,0.000000
0.161433,0.007021,17,HOME,,sp,300,100,60,0,0,-0.076699,4.853793,-2.715146,-12.045702,-0.842546,0.000000,0.000000,0.000004627,-0.536893,0.000000,3.138525,0.000000
0.168426,0.006994,18,HOME,,sp,300,100,60,0,0,-0.042951,4.849518,-2.693670,-9.778251,-1.111244,0.000000,0.000000,0.000004627,-0.536893,0.000000,3.138525,0.000000
0.175443,0.007016,19,HOME,,sp,300,100,60,0,0,-0.012272,4.777969,-2.672195,-7.852398,-1.335216,0.000000,0.000000,0.000004627,-0.536893,0.000000,3.138525,0.000000
0.182427,0.006984,20,HOME,,sp,300,100,60,0,0,0.015340,4.654339,-2.659923,-6.410954,-1.519020,0.000000,0.000000,0.000004627,-0.536893,0.000000,3.138525,0.000000
0.189414,0.006987,21,HOME,,sp,300,100,60,0,0,0.039884,4.483093,-2.653787,-5.317584,-1.663996,0.000000,0.000000,0.000004627,-0.536893,0.000000,3.138525,0.000000
0.196411,0.006998,22,HOME,,sp,300,100,60,0,0,0.058291,4.205220,-2.653787,-4.519947,-1.727896,0.000000,0.000000,0.000004627,-0.536893,0.000000,3.138525,0.000000
0.203426,0.007015,23,HOME,,sp,300,100,60,0,0,0.073631,3.902432,-2.659923,-3.973153,-1.759778,0.000000,0.000000,0.000004627,-0.536893,0.000000,3.138525,0.000000
0.210486,0.007060,24,HOME,,sp,300,100,60,0,0,0.082835,3.512621,-2.672195,-3.637917,-1.716466,0.000000,0.000000,0.000004627,-0.536893,0.000000,3.138525,0.000000
0.217458,0.006972,25,HOME,,sp,300,100,60,0,0,0.088971,3.117748,-2.693670,-3.554302,-1.647092,0.000000,0.000000,0.000004627,-0.536893,0.000000,3.138525,0.000000
0.224452,0.006994,26,HOME,,sp,300,100,60,0,0,0.092039,2.715884,-2.718214,-3.547540,-1.551076,0.000000,0.000000,0.000004627,-0.536893,0.000000,3.138525,0.000000
0.231493,0.007041,27,HOME,,sp,300,100,60,0,0,0.088971,2.243143,-2.751962,-3.734352,-1.384710,0.000000,0.000000,0.000004627,-0.536893,0.000000,3.138525,0.000000
0.238459,0.006966,28,HOME,,sp,300,100,60,0,0,0.079767,1.708473,-2.791845,-4.033058,-1.150678,0.000000,0.000000,0.000004627,-0.536893,0.000000,3.138525,0.000000
0.245454,0.006995,29,HOME,,sp,300,100,60,0,0,0.067495,1.189054,-2.844000,-4.546481,-0.896677,0.000000,0.000000,0.000004627,-0.536893,0.000000,3.138525,0.000000
0.252452,0.006998,30,HOME,,sp,300,100,60,0,0,0.052155,0.681880,-2.896156,-4.982483,-0.621807,0.000000,0.000000,0.000004627,-0.536893,0.000000,3.138525,0.000000
