t_s,dt_s,sample,mode,event,strategy,delay_ms,jitter_ms,delay_steps,jitter_offset,effective_depth,theta_w_rad,theta_dot_rad_s,alpha_rad,alpha_dot_rad_s,voltage_cmd_V,theta_integral,delay_blend,Rf_active,kf_theta,kf_theta_dot,kf_alpha,kf_alpha_dot
0.050000,0.050000,1,HOME,,sp,5,0,1,0,0,-0.527689,0.000000,-3.104777,0.000000,3.000000,0.000000,0.000000,0.000004627,-0.527689,0.000000,-3.104777,0.000000
0.057216,0.007216,2,HOME,,sp,5,0,1,0,0,-0.527689,0.000000,-3.104777,0.000000,3.000000,0.000000,0.000000,0.000004627,-0.527689,0.000000,-3.104777,0.000000
0.064043,0.006827,3,HOME,,sp,5,0,1,0,0,-0.527689,0.000000,-3.101709,0.067409,3.000000,0.000000,0.000000,0.000004627,-0.527689,0.000000,-3.104777,0.000000
0.068528,0.004485,4,HOME,,sp,5,0,1,0,0,-0.521553,0.205225,-3.098641,0.159910,3.000000,0.000000,0.000000,0.000004627,-0.527689,0.000000,-3.104777,0.000000
0.074156,0.005628,5,HOME,,sp,5,0,1,0,0,-0.512350,0.419753,-3.086369,0.463006,3.000000,0.000000,0.000000,0.000004627,-0.527689,0.000000,-3.104777,0.000000
0.081027,0.006871,6,HOME,,sp,5,0,1,0,0,-0.497010,0.691657,-3.071030,0.728422,3.000000,0.000000,0.000000,0.000004627,-0.527689,0.000000,-3.104777,0.000000
0.085526,0.004499,7,HOME,,sp,5,0,1,0,0,-0.481670,1.099295,-3.055690,1.130545,3.000000,0.000000,0.000000,0.000004627,-0.527689,0.000000,-3.104777,0.000000
0.091156,0.005630,8,HOME,,sp,5,0,1,0,0,-0.460194,1.506574,-3.034214,1.533136,3.000000,0.000000,0.000000,0.000004627,-0.527689,0.000000,-3.104777,0.000000
0.098079,0.006923,9,HOME,,sp,5,0,1,0,0,-0.435651,1.812388,-3.009670,1.834967,2.941488,0.000000,0.000000,0.000004627,-0.527689,0.000000,-3.104777,0.000000
0.102530,0.004451,10,HOME,,sp,5,0,1,0,0,-0.411107,2.367720,-2.985127,2.386912,2.578539,0.000000,0.000000,0.000004627,-0.527689,0.000000,-3.104777,0.000000
