t_s,dt_s,sample,mode,event,strategy,delay_ms,jitter_ms,delay_steps,jitter_offset,effective_depth,theta_w_rad,theta_dot_rad_s,alpha_rad,alpha_dot_rad_s,voltage_cmd_V,theta_integral,delay_blend,Rf_active,kf_theta,kf_theta_dot,kf_alpha,kf_alpha_dot
0.050000,0.050000,1,HOME,,sp,15,0,3,0,0,-0.490874,0.000000,-3.120117,0.000000,3.000000,0.000000,0.000000,0.000004627,-0.490874,0.000000,-3.120117,0.000000
0.055514,0.005514,2,HOME,,sp,15,0,3,0,0,-0.490874,0.000000,-3.120117,0.000000,3.000000,0.000000,0.000000,0.000004627,-0.490874,0.000000,-3.120117,0.000000
0.061070,0.005556,3,HOME,,sp,15,0,3,0,0,-0.487806,0.082830,-3.117049,0.082830,3.000000,0.000000,0.000000,0.000004627,-0.490874,0.000000,-3.120117,0.000000
0.067942,0.006872,4,HOME,,sp,15,0,3,0,0,-0.481670,0.204333,-3.110913,0.204333,3.000000,0.000000,0.000000,0.000004627,-0.490874,0.000000,-3.120117,0.000000
0.072442,0.004500,5,HOME,,sp,15,0,3,0,0,-0.472466,0.480501,-3.101709,0.480501,3.000000,0.000000,0.000000,0.000004627,-0.490874,0.000000,-3.120117,0.000000
0.078066,0.005625,6,HOME,,sp,15,0,3,0,0,-0.460194,0.735700,-3.089437,0.735700,3.000000,0.000000,0.000000,0.000004627,-0.490874,0.000000,-3.120117,0.000000
0.084985,0.006919,7,HOME,,sp,15,0,3,0,0,-0.441786,1.024430,-3.071030,1.024430,3.000000,0.000000,0.000000,0.000004627,-0.490874,0.000000,-3.120117,0.000000
0.090818,0.005833,8,HOME,,sp,15,0,3,0,0,-0.420311,1.423038,-3.049554,1.423038,2.935574,0.000000,0.000000,0.000004627,-0.490874,0.000000,-3.120117,0.000000
0.096439,0.005621,9,HOME,,sp,15,0,3,0,0,-0.392699,1.946420,-3.021942,1.946420,2.557667,0.000000,0.000000,0.000004627,-0.490874,0.000000,-3.120117,0.000000
0.102063,0.005624,10,HOME,,sp,15,0,3,0,0,-0.365087,2.390850,-2.994330,2.390850,2.203444,0.000000,0.000000,0.000004627,-0.490874,0.000000,-3.120117,0.000000
0.108941,0.006878,11,HOME,,sp,15,0,3,0,0,-0.331340,2.768255,-2.963651,2.701343,1.820242,0.000000,0.000000,0.000004627,-0.490874,0.000000,-3.120117,0.000000
0.113611,0.004670,12,HOME,,sp,15,0,3,0,0,-0.303728,3.239813,-2.936039,3.182938,1.457882,0.000000,0.000000,0.000004627,-0.490874,0.000000,-3.120117,0.000000
0.118117,0.004505,13,HOME,,sp,15,0,3,0,0,-0.276117,3.673146,-2.908428,3.624802,1.106989,0.000000,0.000000,0.000004627,-0.490874,0.000000,-3.120117,0.000000
0.124945,0.006828,14,HOME,,sp,15,0,3,0,0,-0.239301,3.930943,-2.874680,3.822453,0.735125,0.000000,0.000000,0.000004627,-0.490874,0.000000,-3.120117,0.000000
0.129444,0.004499,15,HOME,,sp,15,0,3,0,0,-0.208621,4.364087,-2.847068,4.169592,0.359745,0.000000,0.000000,0.000004627,-0.490874,0.000000,-3.120117,0.000000
0.135065,0.005621,16,HOME,,sp,15,0,3,0,0,-0.174874,4.610086,-2.816389,4.362891,0.015965,0.000000,0.000000,0.000004627,-0.490874,0.000000,-3.120117,0.000000
0.141939,0.006874,17,HOME,,sp,15,0,3,0,0,-0.141126,4.654940,-2.788777,4.310940,-0.267472,0.000000,0.000000,0.000004627,-0.490874,0.000000,-3.120117,0.000000
0.146443,0.004503,18,HOME,,sp,15,0,3,0,0,-0.116583,4.774227,-2.767301,4.379636,-0.499608,0.000000,0.000000,0.000004627,-0.490874,0.000000,-3.120117,0.000000
0.152063,0.005620,19,HOME,,sp,15,0,3,0,0,-0.085903,4.876900,-2.745826,4.295855,-0.775846,0.000000,0.000000,0.000004627,-0.490874,0.000000,-3.120117,0.000000
0.158939,0.006876,20,HOME,,sp,15,0,3,0,0,-0.058291,4.747742,-2.727418,4.053062,-0.957992,0.000000,0.000000,0.000004627,-0.490874,0.000000,-3.120117,0.000000
