t_s,dt_s,sample,mode,event,strategy,delay_ms,jitter_ms,delay_steps,jitter_offset,effective_depth,theta_w_rad,theta_dot_rad_s,alpha_rad,alpha_dot_rad_s,voltage_cmd_V,theta_integral,delay_blend,Rf_active,kf_theta,kf_theta_dot,kf_alpha,kf_alpha_dot
0.050000,0.050000,1,HOME,,sp,5,5,1,0,0,-0.003068,0.000000,-3.126253,0.000000,0.024544,0.000000,0.000000,0.000004627,-0.003068,0.000000,-3.126253,0.000000
0.057087,0.007087,2,HOME,,sp,5,5,1,0,0,-0.003068,0.000000,-3.126253,0.000000,0.024544,0.000000,0.000000,0.000004627,-0.003068,0.000000,-3.126253,0.000000
0.062654,0.005567,3,HOME,,sp,5,5,1,0,0,-0.003068,0.000000,-3.126253,0.000000,0.024544,0.000000,0.000000,0.000004627,-0.003068,0.000000,-3.126253,0.000000
0.068639,0.005985,4,HOME,,sp,5,5,1,0,0,-0.003068,0.000000,-3.126253,0.000000,0.024544,0.000000,0.000000,0.000004627,-0.003068,0.000000,-3.126253,0.000000
0.074332,0.005694,5,HOME,,sp,5,5,1,0,0,-0.003068,0.000000,-3.126253,0.000000,0.024544,0.000000,0.000000,0.000004627,-0.003068,0.000000,-3.126253,0.000000
0.079939,0.005606,6,HOME,,sp,5,5,1,0,0,-0.003068,0.000000,-3.126253,0.000000,0.024544,0.000000,0.000000,0.000004627,-0.003068,0.000000,-3.126253,0.000000
0.085511,0.005572,7,HOME,,sp,5,5,1,0,0,-0.003068,0.000000,-3.126253,0.000000,0.024544,0.000000,0.000000,0.000004627,-0.003068,0.000000,-3.126253,0.000000
0.092374,0.006864,8,HOME,,sp,5,5,1,0,0,-0.003068,0.000000,-3.126253,0.000000,0.024544,0.000000,0.000000,0.000004627,-0.003068,0.000000,-3.126253,0.000000
0.096875,0.004501,9,HOME,,sp,5,5,1,0,0,-0.003068,0.000000,-3.126253,0.000000,0.024544,0.000000,0.000000,0.000004627,-0.003068,0.000000,-3.126253,0.000000
0.102531,0.005656,10,HOME,,sp,5,5,1,0,0,-0.003068,0.000000,-3.126253,0.000000,0.024544,0.000000,0.000000,0.000004627,-0.003068,0.000000,-3.126253,0.000000
0.109380,0.006849,11,HOME,,sp,5,5,1,0,0,-0.003068,0.000000,-3.126253,0.000000,0.024544,0.000000,0.000000,0.000004627,-0.003068,0.000000,-3.126253,0.000000
0.113879,0.004499,12,HOME,,sp,5,5,1,0,0,-0.003068,0.000000,-3.126253,0.000000,0.024544,0.000000,0.000000,0.000004627,-0.003068,0.000000,-3.126253,0.000000
0.119506,0.005627,13,HOME,,sp,5,5,1,0,0,-0.003068,0.000000,-3.126253,0.000000,0.024544,0.000000,0.000000,0.000004627,-0.003068,0.000000,-3.126253,0.000000
0.126391,0.006885,14,HOME,,sp,5,5,1,0,0,0.000000,0.066838,-3.126253,0.000000,-0.020051,0.000000,0.000000,0.000004627,-0.003068,0.000000,-3.126253,0.000000
0.131096,0.004705,15,HOME,,sp,5,5,1,0,0,0.000000,0.056812,-3.126253,0.000000,-0.017044,0.000000,0.000000,0.000004627,-0.003068,0.000000,-3.126253,0.000000
0.136670,0.005574,16,HOME,,sp,5,5,1,0,0,-0.003068,-0.034275,-3.126253,0.000000,0.034826,0.000000,0.000000,0.000004627,-0.003068,0.000000,-3.126253,0.000000
0.142256,0.005586,17,HOME,,sp,5,5,1,0,0,-0.003068,-0.029134,-3.129321,-0.082384,0.033284,0.000000,0.000000,0.000004627,-0.003068,0.000000,-3.126253,0.000000
0.147880,0.005625,18,HOME,,sp,5,5,1,0,0,-0.003068,-0.024764,-3.132389,-0.151843,0.031973,0.000000,0.000000,0.000004627,-0.003068,0.000000,-3.126253,0.000000
0.153503,0.005622,19,HOME,,sp,5,5,1,0,0,-0.006136,-0.102902,-3.135457,-0.210920,0.079958,0.000000,0.000000,0.000004627,-0.003068,0.000000,-3.126253,0.000000
0.160812,0.007309,20,HOME,,sp,5,5,1,0,0,-0.009204,-0.150429,-3.138525,-0.242244,0.118760,0.000000,0.000000,0.000004627,-0.003068,0.000000,-3.126253,0.000000
0.167630,0.006819,21,HOME,,sp,5,5,1,0,0,-0.012272,-0.195354,3.138525,137.877834,0.156781,0.000000,0.000000,0.000004627,-0.003068,0.000000,-3.126253,0.000000
0.173244,0.005614,22,HOME,,sp,5,5,1,0,0,-0.015340,-0.248031,3.135457,117.114179,0.197128,0.000000,0.000000,0.000004627,-0.003068,0.000000,-3.126253,0.000000
0.178893,0.005650,23,HOME,,sp,5,5,1,0,0,-0.018408,-0.292282,3.129321,99.384140,0.234947,0.000000,0.000000,0.000004627,-0.003068,0.000000,-3.126253,0.000000
0.184499,0.005606,24,HOME,,sp,5,5,1,0,0,-0.021476,-0.330533,3.126253,84.394426,0.270966,0.000000,0.000000,0.000004627,-0.003068,0.000000,-3.126253,0.000000
0.191373,0.006874,25,HOME,,sp,5,5,1,0,0,-0.027612,-0.414843,3.120117,71.601372,0.345346,0.000000,0.000000,0.000004627,-0.003068,0.000000,-3.126253,0.000000
0.195876,0.004503,26,HOME,,sp,5,5,1,0,0,-0.030680,-0.454818,3.113981,60.656763,0.381882,0.000000,0.000000,0.000004627,-0.003068,0.000000,-3.126253,0.000000
0.201488,0.005612,27,HOME,,sp,5,5,1,0,0,-0.036816,-0.550597,3.110913,51.476248,0.459703,0.000000,0.000000,0.000004627,-0.003068,0.000000,-3.126253,0.000000
0.208367,0.006879,28,HOME,,sp,5,5,1,0,0,-0.042951,-0.601806,3.104777,43.621012,0.524154,0.000000,0.000000,0.000004627,-0.003068,0.000000,-3.126253,0.000000
0.212866,0.004498,29,HOME,,sp,5,5,1,0,0,-0.046019,-0.613836,3.101709,36.975559,0.552306,0.000000,0.000000,0.000004627,-0.003068,0.000000,-3.126253,0.000000
0.218485,0.005619,30,HOME,,sp,5,5,1,0,0,-0.049087,-0.603660,3.095573,31.265427,0.573797,0.000000,0.000000,0.000004627,-0.003068,0.000000,-3.126253,0.000000
0.225370,0.006885,31,HOME,,sp,5,5,1,0,0,-0.052155,-0.579953,3.092505,26.508772,0.591229,0.000000,0.000000,0.000004627,-0.003068,0.000000,-3.126253,0.000000
0.229865,0.004495,32,HOME,,sp,5,5,1,0,0,-0.055223,-0.595329,3.089437,22.430086,0.620385,0.000000,0.000000,0.000004627,-0.003068,0.000000,-3.126253,0.000000
0.235507,0.005642,33,HOME,,sp,5,5,1,0,0,-0.058291,-0.587601,3.089437,19.065573,0.642611,0.000000,0.000000,0.000004627,-0.003068,0.000000,-3.126253,0.000000
0.242360,0.006854,34,HOME,,sp,5,5,1,0,0,-0.058291,-0.499461,3.086369,16.138592,0.616169,0.000000,0.000000,0.000004627,-0.003068,0.000000,-3.126253,0.000000
0.246868,0.004507,35,HOME,,sp,5,5,1,0,0,-0.061359,-0.526637,3.086369,13.717803,0.648865,0.000000,0.000000,0.000004627,-0.003068,0.000000,-3.126253,0.000000
0.252488,0.005620,36,HOME,,sp,5,5,1,0,0,-0.061359,-0.447642,3.086369,11.660133,0.625166,0.000000,0.000000,0.000004627,-0.003068,0.000000,-3.126253,0.000000
